SourcePlateSheet v1.1,,,,,,,,,
,,,,,,,,,
Container,Barcode,Title,Author,Date,Description,,,,
384PP,0,Reagents for Ugi Product formation,Chris Arcadia,8/28/2020,source plate sheet for Library 13,,,,
,,,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End,Mass,Note
aldehyde,propionaldehyde,527,DMSO,0.5,6.00E-05,A1,A5,58.08,
aldehyde,butyraldehyde,261,DMSO,0.5,6.00E-05,A6,A10,72.11,
aldehyde,isovaleraldehyde,11552,DMSO,0.5,6.00E-05,A11,A15,86.073165,
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,0.5,6.00E-05,A16,A20,112.088815,
aldehyde,heptanal,8130,DMSO,0.5,6.00E-05,B1,B5,114.104465,
aldehyde,3-phenylpropionaldehyde,7707,DMSO,0.5,6.00E-05,B6,B10,134.073165,
amine,diethylamine,8021,DMSO,0.5,6.00E-05,D1,D3,73.089149,
amine,pentylamine,8060,DMSO,0.5,6.00E-05,D4,D6,87.104799,
amine,aniline,6115,DMSO,0.5,6.00E-05,D7,D9,93.13,
amine,2-methylpiperidine,7974,DMSO,0.5,6.00E-05,D10,D12,99.17,
amine,benzylamine,7504,DMSO,0.5,6.00E-05,D13,D15,107.073499,
amine,"2,6-dimethylpiperidine",68843,DMSO,0.5,6.00E-05,D16,D18,113.2,
amine,p-methoxybenzylamine,75452,DMSO,0.5,6.00E-05,D19,D21,137.084064,
amine,4-chlorobenzylamine,66036,DMSO,0.5,6.00E-05,D22,D24,141.034527,
amine,1-naphthylamine,8640,DMSO,0.5,6.00E-05,E1,E3,143.18,
amine,4-tert-butylbenzylamine,2735655,DMSO,0.5,6.00E-05,E4,E6,163.1361,
carboxylic acid,3-phenylpropionic acid,107,DMSO,0.5,6.00E-05,G1,G3,150.17,
carboxylic acid,3-(4-Methoxyphenyl)propionic acid,95750,DMSO,0.5,6.00E-05,G4,G6,180.078644,
carboxylic acid,Boc-N-methyl-L-alanine,7009590,DMSO,0.5,6.00E-05,G7,G9,203.24,
carboxylic acid,Boc-proline,85083,DMSO,0.5,6.00E-05,G10,G12,215.115758,
carboxylic acid,Boc-L-asparagine,82035,DMSO,0.5,6.00E-05,G13,G15,232.105922,
carboxylic acid,Boc-L-beta-homoleucine,2761526,DMSO,0.5,6.00E-05,G16,G18,245.162708,
carboxylic acid,Boc-L-methionine,89857,DMSO,0.5,6.00E-05,G19,G21,249.103479,
carboxylic acid,Boc-L-phenylalanine,77857,DMSO,0.5,6.00E-05,G22,G24,265.131408,
carboxylic acid,Boc-N-methyl L phenylalanine,7010602,DMSO,0.5,6.00E-05,H1,H3,279.147058,
carboxylic acid,Boc-N alpha-acetyl N-epsilon lysine,7016049,DMSO,0.5,6.00E-05,H4,H6,288.168522,
carboxylic acid,Boc-O-methyl tyrosine,2762280,DMSO,0.5,6.00E-05,H7,H9,295.141973,
carboxylic acid,Boc-O-benzyl-L-tyrosine,98763,DMSO,0.5,6.00E-05,H10,H12,371.4,
isocyanide,tert-butyl isocyanide,23577,DMSO,0.5,6.00E-05,J1,J7,83.073499,
isocyanide,1-pentyl isocyanide,2756567,DMSO,0.5,6.00E-05,J8,J11,97.16,
isocyanide,methyl isocyanoacetate,547815,DMSO,0.5,6.00E-05,J12,J13,99.032028,
isocyanide,cyclohexyl isocyanide,79129,DMSO,0.5,6.00E-05,J14,J15,109.089149,
isocyanide,ethyl isocyanoacetate,533707,DMSO,0.5,6.00E-05,J16,J17,113.047678,
isocyanide,benzyl isocyanide,82558,DMSO,0.5,6.00E-05,K1,K13,117.057849,
isocyanide,2-tolylisocyanide,575991,DMSO,0.5,6.00E-05,J18,J19,117.15,
isocyanide,2-naphthyl isocyanide,16217475,DMSO,0.5,6.00E-05,J20,J21,153.057849,
matrix,alpha-Cyano,5328791,DMSO,2.64E-02,5.00E-05,O1,O4,189.042593,
aligner,alpha-Cyano,5328791,DMSO,2.64E-02,5.00E-05,O5,O5,189.042593,
solvent,dimethyl sulfoxide,679,N/A,N/A,5.00E-05,P1,P1,78.013936,skip this line (no dilution)
