PlateSheet v1.1,,,,,,,,,,,
,,,,,,,,,,,
Container,Barcode,Title,Author,Date,Description,,,,,,
384PP,0,Reagents for Ugi Product,Chris Arcadia,,"Library 1 (copied from ""Library Reactions - Shared.xslx"")",,,,,,
,,,,,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End,,,,
amine,benzylamine,7504,DMSO,4,1.00E-05,A1,F17,,,,
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A1,F17,,,,
aldehyde,2-nitro-4-(trifluoromethyl)benzaldehyde,11160305,DMSO,4,1.00E-05,A1,A17,,,,
aldehyde,5-bromo-2-nitrobenzaldehyde,97233,DMSO,4,1.00E-05,B1,B17,,,,
aldehyde,"2,4-dinitrobenzaldehyde",68250,DMSO,4,1.00E-05,C1,C17,,,,
aldehyde,2-nitrobenzaldehyde,11101,DMSO,4,1.00E-05,D1,D17,,,,
aldehyde,4-chloro-2-nitrobenzaldehyde,79674,DMSO,4,1.00E-05,E1,E17,,,,
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,F1,F17,,,,
carboxylic acid,boc-o-benzyl-l-beta-homotyrosine,2761555,DMSO,4,1.00E-05,A1,F1,,,,
carboxylic acid,boc-l-beta-homoleucine,2761526,DMSO,4,1.00E-05,A2,F2,,,,
carboxylic acid,boc-l-glutamic acid 5-benzyl ester,83589,DMSO,4,1.00E-05,A3,F3,,,,
carboxylic acid,boc-l-phenylalanine,77857,DMSO,4,1.00E-05,A4,F4,,,,
carboxylic acid,boc-l-proline,85083,DMSO,4,1.00E-05,A5,F5,,,,
carboxylic acid,boc-o-benzyl-l-tyrosine,98763,DMSO,4,1.00E-05,A6,F6,,,,
carboxylic acid,boc-l-beta-hmet-oh,16211045,DMSO,4,1.00E-05,A7,F7,,,,
carboxylic acid,boc-l-lys(epsilon-formyl)-oh,1581890,DMSO,4,1.00E-05,A8,F8,,,,
carboxylic acid,boc-l-methionine,89857,DMSO,4,1.00E-05,A9,F9,,,,
carboxylic acid,boc-l-beta-homoglutamine,2761810,DMSO,4,1.00E-05,A10,F10,,,,
carboxylic acid,boc-n-methyl-l-phenylalanine,7010602,DMSO,4,1.00E-05,A11,F11,,,,
carboxylic acid,boc-n-methyl-l-valine,7010608,DMSO,4,1.00E-05,A12,F12,,,,
carboxylic acid,boc-glycine,78288,DMSO,4,1.00E-05,A13,F13,,,,
carboxylic acid,n-(tert-butoxycarbonyl)-n'-formyl-l-tryptophan,7017963,DMSO,4,1.00E-05,A14,F14,,,,
carboxylic acid,boc-o-methyl-l-tyrosine,2762280,DMSO,4,1.00E-05,A15,F15,,,,
carboxylic acid,n-boc-n'-acetyl-l-lysine,7016049,DMSO,4,1.00E-05,A16,F16,,,,
carboxylic acid,boc-l-asparagine,82035,DMSO,4,1.00E-05,A17,F17,,,,
