PlateSheet v1.1,,,,,,,
,,,,,,,
Container,Barcode,Title,Author,Date,Description,,
384PP,0,Reagents for Ugi Product,Chris Arcadia,6/1/18,Library 4,,
,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End
amine,3-5-difluorobenzylamine,145211,DMSO,4,1.00E-05,A1,A20
amine,3-5-difluorobenzylamine,145211,DMSO,4,1.00E-05,F1,F20
amine,3-5-difluorobenzylamine,145211,DMSO,4,1.00E-05,K1,K20
amine,4-methybenzylamine,66035,DMSO,4,1.00E-05,B1,B20
amine,4-methybenzylamine,66035,DMSO,4,1.00E-05,G1,G20
amine,4-methybenzylamine,66035,DMSO,4,1.00E-05,L1,L20
amine,4-tert-butylbenzylamine,2735655,DMSO,4,1.00E-05,C1,C20
amine,4-tert-butylbenzylamine,2735655,DMSO,4,1.00E-05,H1,H20
amine,4-tert-butylbenzylamine,2735655,DMSO,4,1.00E-05,M1,M20
amine,p-methoxybenzylamine,75452,DMSO,4,1.00E-05,D1,D20
amine,p-methoxybenzylamine,75452,DMSO,4,1.00E-05,I1,I20
amine,p-methoxybenzylamine,75452,DMSO,4,1.00E-05,N1,N20
amine,benzylamine,7504,DMSO,4,1.00E-05,E1,E20
amine,benzylamine,7504,DMSO,4,1.00E-05,J1,J20
amine,benzylamine,7504,DMSO,4,1.00E-05,O1,O20
aldehyde,heptanal,8130,DMSO,4,1.00E-05,A1,O1
aldehyde,heptanal,8130,DMSO,4,1.00E-05,A6,O6
aldehyde,heptanal,8130,DMSO,4,1.00E-05,A11,O11
aldehyde,heptanal,8130,DMSO,4,1.00E-05,A16,O16
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,4,1.00E-05,A2,O2
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,4,1.00E-05,A7,O7
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,4,1.00E-05,A12,O12
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,4,1.00E-05,A17,O17
aldehyde,3-phenylpropionaldehyde,7707,DMSO,4,1.00E-05,A3,O3
aldehyde,3-phenylpropionaldehyde,7707,DMSO,4,1.00E-05,A8,O8
aldehyde,3-phenylpropionaldehyde,7707,DMSO,4,1.00E-05,A13,O13
aldehyde,3-phenylpropionaldehyde,7707,DMSO,4,1.00E-05,A18,O18
aldehyde,benzyloxyacetaldehyde,108989,DMSO,4,1.00E-05,A4,O4
aldehyde,benzyloxyacetaldehyde,108989,DMSO,4,1.00E-05,A9,O9
aldehyde,benzyloxyacetaldehyde,108989,DMSO,4,1.00E-05,A14,O14
aldehyde,benzyloxyacetaldehyde,108989,DMSO,4,1.00E-05,A19,O19
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,A5,O5
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,A10,O10
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,A15,O15
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,A20,O20
carboxylic acid,1-methyl-2-pyrrolecarboxylic acid,81453,DMSO,4,1.00E-05,A1,E15
carboxylic acid,3-phenylpropionic acid,107,DMSO,4,1.00E-05,F1,J15
carboxylic acid,3-4-methoxyphenylpropionic acid,95750,DMSO,4,1.00E-05,K1,O15
carboxylic acid,2-methyl heptanoic acid,14475,DMSO,4,1.00E-05,A16,O20
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A1,O5
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A16,E20
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A6,O10
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,F16,J20
isocyanide,2-napthyl isocyanide,16217475,DMSO,4,1.00E-05,A11,O15
isocyanide,2-napthyl isocyanide,16217475,DMSO,4,1.00E-05,K16,O20
