PlateSheet v1.1,,,,,,,
,,,,,,,
Container,Barcode,Title,Author,Date,Description,,
384PP,0,Reagents for Ugi Product,Chris Arcadia,8/1/18,Library 4 subset v2,,
,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End
amine,benzylamine,7504,DMSO,4,1.00E-05,A1,A24
amine,p-methoxybenzylamine,75452,DMSO,4,1.00E-05,B1,B24
amine,4-methylbenzylamine,66035,DMSO,4,1.00E-05,C1,C24
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,A1,C3
aldehyde,heptanal,8130,DMSO,4,1.00E-05,A4,C6
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,4,1.00E-05,A7,C9
aldehyde,3-phenylpropionaldehyde,7707,DMSO,4,1.00E-05,A10,C12
aldehyde,isobutyraldehyde,6561,DMSO,4,1.00E-05,A13,C15
aldehyde,heptanal,8130,DMSO,4,1.00E-05,A16,C18
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,4,1.00E-05,A19,C21
aldehyde,3-phenylpropionaldehyde,7707,DMSO,4,1.00E-05,A22,C24
carboxylic acid,1-methyl-2-pyrrole carboxylic acid,81453,DMSO,4,1.00E-05,A1,C12
carboxylic acid,3-phenylpropionic acid,107,DMSO,4,1.00E-05,A13,C24
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A1,C1
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A2,C2
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A3,C3
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A4,C4
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A5,C5
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A6,C6
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A7,C7
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A8,C8
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A9,C9
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A10,C10
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A11,C11
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A12,C12
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A13,C13
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A14,C14
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A15,C15
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A16,C16
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A17,C17
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A18,C18
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A19,C19
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A20,C20
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A21,C21
isocyanide,tert-butyl isocyanide,23577,DMSO,4,1.00E-05,A22,C22
isocyanide,benzyl isocyanide,82558,DMSO,4,1.00E-05,A23,C23
isocyanide,cyclohexyl isocyanide,79129,DMSO,4,1.00E-05,A24,C24
