SourcePlateSheet v1.1,,,,,,,,,
,,,,,,,,,
Container,Barcode,Title,Author,Date,Description,,,,
384PP,0,Reagents for Ugi Product,Chris Arcadia,2/7/19,Library 6c (reagent source plate),,,,
,,,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End,Formula,Note
amine,p-methoxybenzylamine,75452,DMSO,0.5,5.00E-05,A1,A2,,
amine,4-chlorobenzylamine,66036,DMSO,0.5,5.00E-05,A3,A4,,
amine,benzylamine,7504,DMSO,0.5,5.00E-05,A5,A6,,
amine,4-methylbenzylamine,66035,DMSO,0.5,5.00E-05,A7,A8,,
amine,4-tert-butylbenzylamine,2735655,DMSO,0.5,5.00E-05,A9,A10,,
aldehyde,isovaleraldehyde,11552,DMSO,0.5,5.00E-05,C1,C2,,
aldehyde,valeradlehyde,8063,DMSO,0.5,5.00E-05,C3,C4,,
aldehyde,3-cyclohexylpropanal,78070,DMSO,0.5,5.00E-05,C5,C6,,
aldehyde,cyclopentanecarboxaldehyde,70106,DMSO,0.5,5.00E-05,C7,C8,,
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,0.5,5.00E-05,C9,C10,,
carboxylic acid,Boc-N-methyl L phenylalanine,7010602,DMSO,0.5,5.00E-05,E1,E2,,
carboxylic acid,Boc-N alpha-formyl N-epsilon lysine,1581890,DMSO,0.5,5.00E-05,E3,E4,,
carboxylic acid,Boc-L-phenylalanine,77857,DMSO,0.5,5.00E-05,E5,E6,,
carboxylic acid,Boc-proline,85083,DMSO,0.5,5.00E-05,E7,E8,,
carboxylic acid,Boc-L-methionine,89857,DMSO,0.5,5.00E-05,E9,E10,,
carboxylic acid,Boc-N-methyl-L-Valine,7010608,DMSO,0.5,5.00E-05,E11,E12,,
carboxylic acid,Boc-glycine,78288,DMSO,0.5,5.00E-05,E13,E14,,
carboxylic acid,Boc-O-methyl tyrosine,2762280,DMSO,0.5,5.00E-05,E15,E16,,
carboxylic acid,Boc-L-asparagine,82035,DMSO,0.5,5.00E-05,E17,E18,,
carboxylic acid,Boc-L-beta-homoleucine,2761526,DMSO,0.5,5.00E-05,E19,E20,,
carboxylic acid,Boc-L-betahomomethionine,16211045,DMSO,0.5,5.00E-05,E21,E22,,
carboxylic acid,N-Boc homobeta-glutamine,2761810,DMSO,0.5,5.00E-05,E23,E24,,
isocyanide,ethyl isocyanoacetate,533707,DMSO,0.5,5.00E-05,G1,G2,,
isocyanide,methyl isocyanoacetate,547815,DMSO,0.5,5.00E-05,G3,G4,,
isocyanide,cyclohexyl isocyanide,79129,DMSO,0.5,5.00E-05,G5,G6,,
isocyanide,benzyl isocyanide,82558,DMSO,0.5,5.00E-05,G7,G8,,
isocyanide,2-napthyl isocyanide,16217475,DMSO,0.5,5.00E-05,G9,G10,,
solvent,dimethyl sulfoxide,679,N/A,N/A,5.00E-05,I1,P24,,"with 25mM 3,6-Diphenyl-1,2,4,5-tetrazine (PubChemID:23263) dissolved in it"
matrix,alpha-Cyano,5328791,DMSO,1.76E-01,5.00E-05,A20,A23,,
aligner,alpha-Cyano,5328791,DMSO,1.76E-01,5.00E-05,A24,A24,,
