SourcePlateSheet v1.1,,,,,,,,
,,,,,,,,
Container,Barcode,Title,Author,Date,Description,,,
384PP,0,Reagents for Ugi Product formation,Chris Arcadia,9/5/2019,source plate sheet for Library 9,,,
,,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End,Note
amine,benzylamine,7504,DMSO,0.5,5.00E-05,A1,A12,from Library 7
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,0.5,5.00E-05,C1,C12,from Library 7
carboxylic acid,Boc-proline,85083,DMSO,0.5,5.00E-05,E1,E12,from Library 7
isocyanide,benzyl isocyanide,82558,DMSO,0.5,5.00E-05,G1,G6,from Library 7
isocyanide,cyclohexyl isocyanide,79129,DMSO,0.5,5.00E-05,G7,G12,from Library 7
isocyanide,ethyl isocyanoacetate,533707,DMSO,0.5,5.00E-05,G13,G18,from Library 7
isocyanide,methyl isocyanoacetate,547815,DMSO,0.5,5.00E-05,G19,G24,from Library 7
isocyanide,4-methoxyphenyl isocyanide,449765,DMSO,0.5,5.00E-05,E19,E24,
solvent,dimethyl sulfoxide,679,N/A,N/A,5.00E-05,I1,P24,
matrix,alpha-Cyano,5328791,DMSO,2.64E-02,5.00E-05,A21,A24,
aligner,alpha-Cyano,5328791,DMSO,2.64E-02,5.00E-05,B24,B24,
